column 1,column 2
226.19,3.84
339.29,2.9
452.39,2.29
565.49,1.9
678.58,1.61
791.68,1.4
904.78,1.23
1017.9,1.1
1130.97,1
1244.1,0.91
1357.2,0.84
1470.3,0.78
1583.4,0.71
1696.5,0.67
1809.6,0.62
1922.7,0.59
2035.8,0.55
2148.8,0.52
2261.9,0.5
