column 1,column 2
113.09,3 
226.19,2.12
339.29,1.55
452.39,1.22
565.49,1
678.58,0.85
791.68,0.73
904.78,0.65
1017.9,0.58
1130.97,0.5
1244.1,0.47
1357.2,0.43
1470.3,0.4
1583.4,0.36
1696.5,0.35
1809.6,0.33
1922.7,0.3
2035.8,0.28
2148.8,0.26
2261.9,0.25
