column 1,column 2
565.49,3.63
678.58,3.09
791.68,2.7
904.78,2.4
1017.9,2.15
1130.97,1.95
1244.1,1.79
1357.2,1.64
1470.3,1.51
1583.4,1.4
1696.5,1.31
1809.6,1.22
1922.7,1.18
2035.8,1.1
2148.8,1.05
2261.9,1
